date,home_team,away_team,winner,first_shooter
8/22/1967,India,Taiwan,Taiwan,
11/14/1971,South Korea,Vietnam Republic,South Korea,
5/7/1972,South Korea,Iraq,Iraq,
5/17/1972,Thailand,South Korea,South Korea,
5/19/1972,Thailand,Cambodia,Thailand,
4/21/1973,Senegal,Ghana,Ghana,
6/14/1973,Guinea,Mali,Guinea,
6/14/1973,Mauritius,Tanzania,Mauritius,
7/26/1973,Malaysia,Kuwait,Malaysia,
7/26/1973,Cambodia,Singapore,Singapore,
7/27/1973,Bangladesh,Thailand,Thailand,
7/28/1973,Myanmar,South Korea,Myanmar,
8/9/1973,India,Vietnam Republic,Vietnam Republic,
8/23/1973,Algeria,Syria,Syria,
8/25/1973,Algeria,Iraq,Algeria,
9/6/1973,Singapore,Vietnam Republic,Vietnam Republic,
3/28/1974,Qatar,United Arab Emirates,Qatar,
7/24/1974,Hong Kong,Indonesia,Indonesia,
8/1/1974,India,Indonesia,Indonesia,
10/9/1974,Syria,Morocco,Morocco,
11/22/1974,Libya,Tunisia,Tunisia,
12/18/1974,South Korea,Malaysia,South Korea,
7/13/1975,Morocco,Ghana,Morocco,
11/9/1975,Kenya,Malawi,Kenya,
12/9/1975,Thailand,Malaysia,Thailand,
12/23/1975,Libya,Syria,Syria,
6/20/1976,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia
12/22/1976,South Korea,Malaysia,Malaysia,
1/9/1977,Tunisia,Morocco,Tunisia,
3/22/1977,Argentina,Iran,Argentina,
6/26/1977,Zambia,Algeria,Zambia,
7/27/1977,Iran,Morocco,Iran,
8/31/1977,Paraguay,Argentina,Paraguay,
1/13/1979,Guinea-Bissau,Mali,Mali,
1/14/1979,Guinea-Bissau,Guinea,Guinea,
4/29/1979,Cameroon,Guinea,Guinea,
5/22/1979,Argentina,Netherlands,Argentina,Argentina
9/29/1979,Indonesia,Thailand,Indonesia,
2/16/1980,Gambia,Mauritania,Gambia,
3/19/1980,Algeria,Egypt,Algeria,
6/21/1980,Italy,Czechoslovakia,Czechoslovakia,Italy
7/12/1980,Nigeria,Tunisia,Nigeria,
11/30/1980,Zambia,Morocco,Morocco,
12/31/1980,Hong Kong,China PR,China PR,
2/13/1981,Mali,Guinea,Guinea,
5/10/1981,Rwanda,Ethiopia,Ethiopia,
12/13/1981,Malaysia,Singapore,Malaysia,
2/21/1982,Ivory Coast,Togo,Togo,
2/22/1982,Ivory Coast,Burkina Faso,Burkina Faso,
3/19/1982,Libya,Ghana,Ghana,
5/15/1982,Thailand,Singapore,Thailand,
5/17/1982,Thailand,South Korea,Thailand,
7/8/1982,Germany,France,Germany,France
10/17/1982,Indonesia,Malaysia,Indonesia,
11/27/1982,Uganda,Kenya,Kenya,
2/6/1983,Senegal,Niger,Senegal,
2/20/1983,Gambia,Sierra Leone,Gambia,
2/27/1983,Mali,Guinea,Mali,
4/22/1983,Egypt,Congo,Egypt,
4/24/1983,Mauritius,Ethiopia,Ethiopia,
6/4/1983,Thailand,Malaysia,Thailand,
7/18/1983,Hong Kong,Thailand,Thailand,
8/28/1983,Morocco,Nigeria,Nigeria,
12/15/1983,Ivory Coast,Mali,Ivory Coast,
12/18/1983,Mali,Nigeria,Mali,
2/16/1984,Sierra Leone,Mali,Sierra Leone,
2/19/1984,Sierra Leone,Senegal,Senegal,
3/14/1984,Egypt,Nigeria,Nigeria,
3/14/1984,Algeria,Cameroon,Cameroon,
3/28/1984,Iraq,Qatar,Iraq,
6/24/1984,Denmark,Spain,Spain,Denmark
7/15/1984,Senegal,Angola,Angola,
11/23/1984,Kenya,Somalia,Kenya,
11/28/1984,Ghana,Togo,Ghana,
12/8/1984,Kenya,Somalia,Kenya,
12/13/1984,Saudi Arabia,Iran,Saudi Arabia,
12/15/1984,Malawi,Zambia,Zambia,
12/16/1984,Iran,Kuwait,Kuwait,
12/16/1984,Chad,Equatorial Guinea,Chad,
12/19/1984,Central African Republic,Gabon,Gabon,
12/20/1984,Congo,Cameroon,Cameroon,
4/16/1985,Mozambique,Malawi,Mozambique,
4/21/1985,Madagascar,Egypt,Egypt,
7/10/1985,Bahrain,Qatar,Bahrain,
7/12/1985,Saudi Arabia,Qatar,Saudi Arabia,
8/25/1985,Mali,Guinea,Guinea,
9/15/1985,Mozambique,Libya,Mozambique,
10/11/1985,Kenya,Uganda,Kenya,
12/15/1985,Singapore,Malaysia,Singapore,
3/21/1986,Egypt,Cameroon,Egypt,
6/21/1986,Brazil,France,France,Brazil
6/21/1986,Mexico,Germany,Germany,Germany
6/22/1986,Spain,Belgium,Belgium,Spain
10/1/1986,Saudi Arabia,Iraq,Saudi Arabia,
10/1/1986,South Korea,Iran,South Korea,
10/1/1986,United Arab Emirates,Indonesia,Indonesia,
